Unnamed: 0,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,area,reserved_days,occupancy_rate,night_category,distance_to_attraction
4678,23862109,21970931,Nui,Bang Sue,13.81896,100.53214,Entire home/apt,750,7,56,0.97,22,207,Inner,158,43.29,7,9.55520268986496
4713,23547102,47425603,Bee,Thon buri,13.71634,100.47704,Entire home/apt,480,30,0,0.0,3,11,Inner,354,96.99,28+ days,9.25954955005621
4741,23586487,44386256,Chanidapa,Bang Phlat,13.77547,100.48135,Private room,350,1,2,0.03,1,360,Inner,5,1.37,1,9.511211756174632
4758,23360076,34322492,Ben,Thon buri,13.71743,100.47965,Entire home/apt,850,2,60,1.04,1,323,Inner,42,11.51,2,8.956322811944363
4766,23959136,151945900,Jasmeet,Thon buri,13.71724,100.48118,Entire home/apt,1180,60,19,0.33,2,365,Inner,0,0.0,28+ days,8.801038453114671
4777,23382819,170864738,Sontana,Bang Sue,13.80604,100.52881,Entire home/apt,900,28,2,0.04,1,27,Inner,338,92.6,28+ days,8.349934161269799
4779,24095060,180484661,Pasun,Bang Sue,13.81977,100.53618,Entire home/apt,797,300,2,0.05,2,358,Inner,7,1.92,28+ days,9.512817145932067
4821,24169811,111880583,Yanin,Bang Sue,13.80621,100.53687,Private room,402,2,18,0.32,2,353,Inner,12,3.29,2,8.055378500047178
4840,24485408,154014557,Feel Good,Bang Phlat,13.76427,100.48935,Private room,700,1,0,0.0,6,364,Inner,1,0.27,1,8.214860438501177
4887,24073318,118332913,Issara,Bang Phlat,13.78907,100.48571,Entire home/apt,3500,1,0,0.0,1,87,Inner,278,76.16,1,9.885993158098012
4903,24250398,182848774,Manoj,Thon buri,13.71586,100.47937,Private room,700,14,3,0.05,1,364,Inner,1,0.27,14,9.029168314503162
4908,24607801,185456135,Woranuch,Bang Phlat,13.77762,100.4877,Private room,1351,1,4,0.07,1,179,Inner,186,50.96,1,9.018495777160965
5034,24796845,187471229,Perapan,Bang Sue,13.82577,100.53681,Private room,800,1,0,0.0,1,179,Inner,186,50.96,1,10.136359393556619
5058,24875048,28447831,Dr. Piyamas,Samphanthawong,13.73586,100.51549,Private room,850,1,8,0.14,11,27,Inner,338,92.6,1,4.815674729923682
5072,24456427,69640446,Chanyika & Tang Mo,Bang Phlat,13.77136,100.49425,Private room,1500,2,31,0.57,3,346,Inner,19,5.21,2,8.063105285115201
5080,24898622,110449636,Kanokporn,Bang Sue,13.82006,100.53338,Private room,650,1,1,0.02,1,168,Inner,197,53.97,1,9.629841344786122
5100,25215723,190519081,Nissorn,Samphanthawong,13.73171,100.51288,Private room,750,1,1,0.03,5,364,Inner,1,0.27,1,5.129851012904412
5103,25216011,190519081,Nissorn,Samphanthawong,13.73255,100.51481,Private room,1050,1,6,0.11,5,358,Inner,7,1.92,1,4.912337261776736
5104,25216560,190519081,Nissorn,Samphanthawong,13.73127,100.5132,Shared room,350,1,0,0.0,5,365,Inner,0,0.0,1,5.101293658502742
5105,25216749,190519081,Nissorn,Samphanthawong,13.73138,100.51276,Shared room,500,1,0,0.0,5,365,Inner,0,0.0,1,5.147031706048307
